Nodo_ID,Lat_Nodo,Lng_Nodo,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
33.97_-118.38,33.97,-118.38,1,5,8,6,8,8,11,7,10,11,12,15,11,9,8,12,12,6,11,14,16,5,14,9,13,11,13,13,12,19,13,16,6,7,15,10,7,12,9,12,4,10,21,39,17,31,35,21,16,6,9,8,4,3,8,4,12,11,5,17,11,15,17,17,8,20,9,11,17,25,6,26,20,24,16,30,13,10,15,6,8,7,19,8,10
33.97_-118.39,33.97,-118.39,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,1,0,2,1,0,0,0,0,3,0,0,1,0,3,1,3,0,0,1,0,2,2,1,1,1
33.98_-118.12,33.98,-118.12,0,3,2,0,3,4,4,1,5,2,1,1,1,3,0,4,2,1,4,1,4,1,5,1,4,3,1,3,1,2,3,1,2,1,1,2,1,1,2,2,1,4,1,9,1,6,5,4,3,6,2,3,2,3,1,0,0,4,0,6,0,1,0,4,3,3,2,3,0,2,1,5,5,2,1,3,6,3,1,4,1,5,2,1,4
33.98_-118.13,33.98,-118.13,1,5,7,11,5,5,4,6,6,2,7,1,3,2,1,5,1,4,6,3,6,2,7,2,2,6,10,4,4,3,4,3,5,5,4,0,6,6,4,3,10,3,12,5,4,10,11,10,5,7,8,10,2,1,6,3,14,7,7,14,8,15,8,10,8,7,10,13,4,8,4,6,7,8,6,7,15,10,11,14,6,15,9,6,4
33.98_-118.14,33.98,-118.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,14,3,2,0,3,1,19,36,1,0,0,0,0,0,0,0,0,0
33.98_-118.23,33.98,-118.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,1,0,0,0,5,1,0,4,2,3,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0
33.98_-118.24,33.98,-118.24,1,3,2,4,5,2,3,1,2,1,2,0,2,1,3,0,1,3,4,2,0,0,1,0,1,4,2,2,1,3,5,2,2,1,0,1,1,2,0,1,0,1,4,4,5,1,0,0,5,2,2,3,0,2,0,5,16,11,3,7,17,10,2,9,11,11,6,7,18,24,2,15,14,6,6,2,8,7,7,5,9,5,5,4,4
33.98_-118.25,33.98,-118.25,3,8,2,8,1,12,5,4,13,7,1,2,7,6,2,4,10,3,1,2,2,4,1,4,5,4,3,8,4,6,7,8,5,4,5,3,1,2,11,1,4,3,10,9,8,12,7,10,6,8,10,9,1,1,7,8,21,32,15,10,1,3,0,4,3,11,9,8,1,6,7,10,9,15,9,11,10,11,9,6,12,32,9,13,2
33.98_-118.26,33.98,-118.26,0,2,0,4,1,2,1,1,4,1,2,1,2,3,1,1,1,5,7,1,0,0,1,2,0,0,1,1,1,0,2,4,3,1,3,1,1,3,3,2,1,1,4,2,2,6,0,1,2,1,2,2,0,0,2,6,11,4,7,0,2,3,13,1,7,10,2,5,10,7,8,8,5,3,16,2,3,7,2,6,9,11,8,2,0
33.98_-118.27,33.98,-118.27,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,2,3,0,1,0,0,0,0,1,0,2,4,0,0,0,0,0,3,2,0,1,0
33.98_-118.28,33.98,-118.28,6,16,7,12,8,11,10,6,11,7,5,6,2,4,8,10,6,8,9,10,9,10,7,9,8,14,13,7,14,19,12,9,12,9,11,8,8,6,8,13,6,13,18,25,17,23,22,19,9,7,17,28,9,7,13,16,33,30,15,19,27,35,9,34,33,23,26,23,28,19,21,17,19,34,11,9,18,18,14,9,9,13,6,13,5
33.98_-118.29,33.98,-118.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,17,4,3,4,2,6,6,14,1,5,12,7,1,12,1,7,5,2,0,2,2,0,1,0,2,1,1
33.98_-118.33,33.98,-118.33,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0
